1,(A yacht silently moves southbound through the Atlantic Ocean. The sun beams bright with no clouds in sight. The murky sea appears calm.),0,2,,,DaytimeChatting,DeckJoeMaster
2,Have you figured out where we’re headed?,0,3,Joe,,DaytimeChatting,
3,I don’t know* I just want to travel and take photos...I just want to be away from home.,0,4,MC,,DaytimeChatting,
4,That topic came up again* huh?,0,5,Joe,,DaytimeChatting,
5,Yeah* but this time he’s serious about it. He even flew out from New York to visit me here* in Miami!,0,6,MC,,DaytimeChatting,
6,No way?! But what’s so bad about accepting his offer anyways? You would have what everyone would kill for.,0,7,Joe,,DaytimeChatting,
7,I already have all I could possibly want. If I go back* I’ll lose everything.,0,8,MC,,DaytimeChatting,
8,Yeah* I guess you’re right. Loss of freedom for you would mean living without a life* huh?,0,9,Joe,,DaytimeChatting,
9,Right...a life not worth living.,0,10,MC,,DaytimeChatting,
10,You know what would be a good idea?! Lets go visit the Caribbeans!,0,11,Joe,,DaytimeChatting,
11,Huh...that’s random but I’ll go tell the Captain.,0,12,MC,,DaytimeChatting,SSLightClearMaster
12,Choosing the Engine Room,0,13,,,Daytime \ DoorOpenClose,EngineRoomLockedMaster
13,The engine room is locked. I guess I’ll head back...,0,14,MC,,Daytime,SSLightClearMaster
14,Choosing the Cabin,0,15,,,Daytime \ DoorOpenClose,CabinJoeMaster
15,Joe is looking out the window.,0,16,,,Daytime,SSLightClearMaster
16,Choosing Captain’s Quarters,0,17,,,Daytime \ DoorOpenClose,BridgeRobertMaster
17,Robert looks very focused on his steering wheel...,0,18,MC,,Daytime,SSLightClearMaster
18,,0,19,,,Daytime,TransitionOutMaster
19,(A bright clear day with calm seas.),0,20,,,Daytime,SSLightClearMaster
20,,0,21,,,Daytime \ DoorOpenClose,DeckJoeMaster
21,Joe looks like he's enjoying the sea. Weather looks pretty good today...I hope it will stay like this for us to get to the Caribbeans safely.,0,22,MC,,Daytime,SSLightClearMaster
22,,0,23,,,Daytime \ DoorOpenClose,EngineRoomLockedMaster
23,Robert must’ve locked the door. I probably should check out other places. There’s nothing for me to do here anyways.,0,24,MC,,Daytime,SSLightClearMaster
24,,0,25,,,Daytime \ DoorOpenClose,CabinAloneMaster
25,I had good sleep last night. The day’s too young to go back to sleep.,0,26,MC,,Daytime,SSLightClearMaster
26,,0,27,,,Daytime \ DoorOpenClose,BridgeRobertMaster
27,Hey Cap.,0,28,MC,,DaytimeChatting,
28,…,0,29,Robert,,DaytimeChatting,
29,Looks like the weather is doing us a favor today* huh?,0,30,MC,,DaytimeChatting,
30,(scoffs) You’d be a fool for underestimating the sea.,2,31\36,Robert,,DaytimeChatting,
31,(Be nice),0,32,,,DaytimeChatting,
32,Well* that's why you’re gonna make sure we get to the Carribeans safely right?,0,33,MC,,DaytimeChatting,
33,…,0,34,Robert,,DaytimeChatting,
34,So* ummm…what made you a man of the sea?,0,35,MC,,DaytimeChatting,
35,I’m going down to the engine room to make sure the ship's engine is running how it’s supposed to.,0,42,Robert,,DaytimeChatting,
36,(Be rude),0,37,,,DaytimeChatting,
37,What do you think I’m hiring YOU for then? You should do your job and save the attitude so I can have a good time on this trip* OK?? I’ve had enough of old man b.s. already.,0,38,MC,,DaytimeChatting,
38,…,0,39,Robert,,DaytimeChatting,
39,Aren’t you gonna say something?,0,40,MC,,DaytimeChatting,
40,I’m going down to the engine room to make sure the ship's engine is running how it’s supposed to. Aren’t you here to take photos? I suggest you go on the deck and take some photos while we still have this type of weather.,0,41,Robert,,DaytimeChatting,
41,,0,42,,,NightTheme,TransitionOutMaster
42,(The weather is cloudy and the sky grey. Creaking sounds can be heard throughout the boat with thunder rumbling in the sky.),0,43,,,NightTheme,SSLightNightMaster
43,,0,44,,,NightTheme\ DoorOpenClose,BridgeAloneMaster
44,The Captain's not in here right now. Bathroom break maybe?,0,45,MC,,NightTheme,SSLightNightMaster
45,,0,46,,,NightTheme\ DoorOpenClose,DeckCloudyMaster
46,I probably shouldn't stay out here. Seems like it’s about to rain soon.,0,47,MC,,NightTheme,SSLightNightMaster
47,,0,48,,,NightTheme\ DoorOpenClose,CabinJoeMaster
48,Joe is intensely gazing out the window. He seems to have something on his mind. I probably shouldn't bother him right now.,0,49,MC,,NightTheme,SSLightNightMaster
49,,0,50,,,NightTheme\ DoorOpenClose,EngineRoomDay3Master
50,Captain and Gary seem to be working on something. Neither of them are talking. Gary seems a bit annoyed whereas Robert looks expressionless.,0,51,,,NightTheme,
51,(becomes aggitated after MC enters) Why did you come down here??,0,52,Robert,,NightChatting,
52,I want to know why the ship has stopped. I went to look for you in your quarters* but no one answered so I came here. By the way* who is this??,0,53,MC,,NightChatting,
53,The guy fixing your damned engine!,0,54,Gary,,NightChatting,
54,Well* I was not informed about this. Rob* who is he? I thought my friend and I are the only one on board.,0,55,MC,,NightChatting,
55,You thought wrong didn’t ya? Now* if you could do us a favor and leave us alone* I can fix this damn part so we can get going on our merry way! Sound okay?,2,56\61,Gary,,NightChatting,
56,(Refuse and stay),0,57,,,NightChatting,
57,Do you even know who I am?? How dare you talk to me like that! Robert? Say something!,0,58,MC,,NightChatting,
58,Kid* we’re in the middle of the sea. A storm is coming and he’s the only shot we got at making this ship move. Go back to your cabin.,0,59,Robert,,NightChatting,
59,The Captain said it. Now please* leave.,0,60,Gary,,NightChatting,
60,(turns mad) Robert* let’s have a talk when you get back up to deck.,0,61,MC,,NightChatting,
61,(Obey and leave),0,62,,,NightChatting,
62,(sigh) If this is what it has come to...me needing a stowaway to fix the ship. If only you let me know sooner where you came from.,0,63,MC,,NightChatting,
63,Why does that matter? Just know that I’m here now helping YOU out.,0,64,Gary,,NightChatting,
64,I hate to admit it* but right now I need this man’s help to make it to the Caribbeans. Go on up and wait until this issue is resolved. We can worry about this man’s origin at another time.,0,65,Robert,,NightChatting,
65,,0,66,,,NightChatting,TransitionOutMaster
66,(Pouring rain and the sound of thunder rumbling can be heard.),0,67,,,Storm,SSLightNightBrokenMaster
67,,0,68,,,Storm \ DoorOpenClose,DeckRainThunderMaster
68,Why did I come out in the pouring rain? It’d be bad to get sick now.,0,69,MC,,Storm,SSLightNightBrokenMaster
69,,0,70,,,Storm,EngingRoomLockedMaster
70,Seems like the Captain has locked the door again. I can't believe that guy has been aboard this whole time! Even now! I should go see what the Captain has to say about this engine guy.,0,71,MC,,Storm,SSLightNightBrokenMaster
71,,0,72,,,Storm \ DoorOpenClose,BridgeRobertMaster
72,(The Captain seems very nervous as he tries to stay in control of the boat.),0,73,,,Storm,
73,HEY CAP!,0,74,MC,,Storm,
74,...,0,75,Robert,,Storm,
75,ROBERT!,0,76,MC,,Storm,
76,(turns around) ARE YOU OUT OF YOUR MIND?! GET BACK TO YOUR CABIN NOW!,2,77\85,Robert,,Storm,
77,(Stay),0,78,,,Storm,
78,Hey! I’m not gonna just sit here not knowing if we can make it out of this or not!,0,79,MC,,Storm,
79,There’s no point arguing with you...Just keep your eyes open for anything that can harm the ship.,0,80,Robert,,Storm,
80,And you better have a firm hold of that steering wheel. You’ve got 3 lives on your hands. I don’t want to die in the middle of nowhere!,0,81,MC,,Storm,
81,Four. There are four people on this ship.,0,82,Robert,,Storm,
82,Right...well...we still have to talk about that after we get out of this.,0,83,MC,,Storm,
83,IF. If we get out of this...,0,84,Robert,,Storm,
84,…...,0,85,MC,,Storm,
85,(Go back),0,91,,,Storm,
86,Okay. I’ll go back and make sure everyone else is staying dry* not that I’m afraid or anything...Hey uhh I just want to remind you* that 3 lives are in your hands...in-including your own* okay?!,0,87,MC,,Storm,
87,Four. There are four people on this ship.,0,88,Robert,,Storm,
88,I don’t care. You be-better make sure me and my friend get out of this safely.,0,89,MC,,Storm,
89,Wish yourself some luck then.,0,90,Robert,,Storm,
90,……,0,91,MC,,Storm,
91,,0,92,,,Storm,TransitionOutMaster
92,(Got through the storm* but the cloudy sky remains. On the other hand* the radio and navigation system are now dysfunctional.),0,93,,,NightTheme,SSLightNightMaster
93,,0,94,,,NightTheme \ DoorOpenClose,CabinJoeMaster
94,Joe remains intensely staring out the window,0,95,MC,,NightTheme,SSLightNightMaster
95,,0,96,,,NightTheme,EngineRoomLockedMaster
96,I don’t want to see that stowaway guy right now.,0,97,MC,,NightTheme,SSLightNightMaster
97,,0,98,,,NightTheme \ DoorOpenClose,DeckCloudyJoeMaster
98,I’m glad that we made it out of the storm.,0,99,Joe,,NightChatting,
99,Yeah* me too man* me too.,0,100,MC,,NightChatting,
100,Are you still sure about this? Running from your dad I mean.,0,101,Joe,,NightChatting,
101,Yeah* I don’t want to be forced to live a life I don’t want.,0,102,MC,,NightChatting,
102,But don’t you miss your home? In New York with your parents* enjoying a comfortable and lavish lifestyle?,0,103,Joe,,NightChatting,
103,I never felt like that place was my home after I left for college. I realized there’s so much more that I can do and be than being held down by that boring company. I want to document my journey with every photograph I take. After my last trip to Alaska* I never felt more at home. I don’t want to be confined to one location in New York City.,0,104,MC,,NightChatting,
104,It can’t be all that bad. Surely better than dying at sea.,2,105\108,Joe,,NightChatting,
105,(Be a jerk),0,106,,,NightChatting,
106,What are you even talking about? You agreed to come* don’t start with me. You thought I knew it’d be like this?,0,107,MC,,NightChatting,
107,Chill out dude...forget that I even said anything.,0,136,Joe,,NightChatting,
108,(Be depressing),0,109,,,NightChatting,
109,Maybe you’re right...surely I did not see what happened yesterday coming. I should probably go check with Robert to see if the ship is in good shape.,0,110,MC,,NightChatting,
110,Yeah that’s a good idea.,0,111,Joe,,NightTheme,SSLightNightMaster
111,,0,112,,,NightTheme,BridgeRobertMaster
112,Damn it! I thought I’d be dead. How’s the ship looking?,0,113,MC,,NightChatting,
113,The storm damaged the ship. With what little materials and tools we have* the damage is irreparable.,0,114,Robert,,NightChatting,
114,Are you serious? How bad is it?,0,115,MC,,NightChatting,
115,The navigation system has been destroyed due to the heavy rain and lightning.,0,116,Robert,,NightChatting,
116,Wait* what are you saying?,0,117,MC,,NightChatting,
117,I'm saying that we cannot use the GPS like before.,0,118,Robert,,NightChatting,
118,What?! You’ve got to be kidding! Just follow the north star or something. I don’t want to be stranded at sea! Figure it out* CAPTAIN!,0,119,MC,,NightChatting,
119,Calm down* we’re still breathing. I’m still fairly familiar with this area however* you’d want to consider either going back or pushing forward to one of the Caribbean islands to restock our food supply. Currently* we have enough food for only two people to share.,2,120\127,Robert,,NightChatting,
120,(Turn Back),0,121,,,NightChatting,
121,What are our chances if we keep going?,0,122,MC,,NightChatting,
122,The sea can be too unpredictable. I cannot give you my assurance.,0,123,Robert,,NightChatting,
123,Some things aren't worth dying for* right?,0,124,MC,,NightChatting,
124,...,0,125,Robert,,NightChatting,
125,Let’s go back.,0,126,MC,,NightChatting,
126,,0,9990,,,NightChatting,SSLightNightMaster
127,(Keep going and ration food),0,128,,,NightChatting,
128,Listen to yourself. You think I’m the kind of person to just give up midway? No way we’re going back* NO WAY!,0,129,MC,,NightChatting,
129,Fair enough. But we won't be at the nearest island until tomorrow. How do you want to ration the food?,0,130\133,Robert,,NightChatting,
130,(Keep food for yourself and give the other half to the Captain),0,131,,,NightChatting,
131,Well I’m going to be taking one* and since you’re the Captain* you should eat.,0,132,MC,,NightChatting,
132,Fair enough.,0,136,Robert,,NightChatting,
133,(Keep food for yourself and give the other half to Joe),0,134,,,NightChatting,
134,What do you mean how am I going to ration the food? Of course my buddy Joe and I will have to eat!,0,135,MC,,NightChatting,
135,…,0,136,Robert,,NightChatting,
136,,0,137,,,NightChatting,TransitionOutMaster
137,(The crew arrives at a sunny island in search of food and fuel.),0,138,,,Island,DeckIslandMaster
138,See? I told you we’ve got good luck. The sea is no place for me to die.,0,139,MC,,IslandChatting,
139,Yeah* yeah. Let’s get something to eat* yeah? I’m starving here!,0,140,Joe,,IslandChatting,
